lr-AdamW:0.0004000000000000002, step:0
train/loss_step:0.042343948036432266, train/loss/visible_step:0.03540022671222687, train/loss/center_step:0.06943722814321518, epoch:0, step:49
train/loss_step:0.037144023925065994, train/loss/visible_step:0.03341863676905632, train/loss/center_step:0.03725386783480644, epoch:0, step:99
train/loss_step:0.031695105135440826, train/loss/visible_step:0.029327906668186188, train/loss/center_step:0.023671967908740044, epoch:0, step:149
train/loss_step:0.019260812550783157, train/loss/visible_step:0.017694219946861267, train/loss/center_step:0.015665922313928604, epoch:0, step:199
train/loss_step:0.01783919148147106, train/loss/visible_step:0.016687961295247078, train/loss/center_step:0.01151229441165924, epoch:0, step:249
train/loss_step:0.013637891970574856, train/loss/visible_step:0.012801810167729855, train/loss/center_step:0.008360818028450012, epoch:0, step:299
train/loss_step:0.014213784597814083, train/loss/visible_step:0.013567507266998291, train/loss/center_step:0.0064627728424966335, epoch:0, step:349
train/loss_step:0.01680399850010872, train/loss/visible_step:0.016245579347014427, train/loss/center_step:0.005584182683378458, epoch:0, step:399
train/loss_step:0.013146039098501205, train/loss/visible_step:0.012724407948553562, train/loss/center_step:0.004216309171169996, epoch:0, step:449
train/loss_step:0.018348749727010727, train/loss/visible_step:0.017975827679038048, train/loss/center_step:0.003729218151420355, epoch:0, step:499
train/loss_step:0.0158572755753994, train/loss/visible_step:0.015536755323410034, train/loss/center_step:0.0032051994930952787, epoch:0, step:549
train/loss_step:0.023159822449088097, train/loss/visible_step:0.02285212278366089, train/loss/center_step:0.003077001078054309, epoch:0, step:599
train/loss_step:0.019477877765893936, train/loss/visible_step:0.019199643284082413, train/loss/center_step:0.0027823534328490496, epoch:0, step:649
train/loss_step:0.02119980752468109, train/loss/visible_step:0.020962601527571678, train/loss/center_step:0.0023720688186585903, epoch:0, step:699
train/loss_step:0.019834496080875397, train/loss/visible_step:0.019613422453403473, train/loss/center_step:0.002210741862654686, epoch:0, step:749
train/loss_step:0.02014901489019394, train/loss/visible_step:0.019951486960053444, train/loss/center_step:0.0019752851221710443, epoch:0, step:799
train/loss_step:0.013398737646639347, train/loss/visible_step:0.013213363476097584, train/loss/center_step:0.0018537449650466442, epoch:0, step:849
train/loss_step:0.008565391413867474, train/loss/visible_step:0.00842423178255558, train/loss/center_step:0.0014115981757640839, epoch:0, step:899
train/loss_step:0.011383856646716595, train/loss/visible_step:0.011246287263929844, train/loss/center_step:0.001375694409944117, epoch:0, step:949
train/loss_step:0.008655482903122902, train/loss/visible_step:0.008534159511327744, train/loss/center_step:0.0012132361298426986, epoch:0, step:999
train/loss_step:0.02429870143532753, train/loss/visible_step:0.02414502575993538, train/loss/center_step:0.001536754542030394, epoch:0, step:1049
train/loss_step:0.013332254253327847, train/loss/visible_step:0.013198011554777622, train/loss/center_step:0.001342426985502243, epoch:0, step:1099
train/loss_step:0.012838289141654968, train/loss/visible_step:0.012710326351225376, train/loss/center_step:0.0012796323280781507, epoch:0, step:1149
train/loss_step:0.01277859602123499, train/loss/visible_step:0.012664781883358955, train/loss/center_step:0.0011381431249901652, epoch:0, step:1199
train/loss_step:0.012092049233615398, train/loss/visible_step:0.012001666240394115, train/loss/center_step:0.0009038311545737088, epoch:0, step:1249
train/loss_step:0.012508837506175041, train/loss/visible_step:0.01239212416112423, train/loss/center_step:0.0011671307729557157, epoch:0, step:1299
train/loss_step:0.013035107403993607, train/loss/visible_step:0.01293833926320076, train/loss/center_step:0.0009676797781139612, epoch:0, step:1349
