[2023-02-11 16:06:46,942][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9hvecin0
[2023-02-11 16:06:46,943][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9hvecin0/_remote_module_non_sriptable.py
[2023-02-11 16:06:47,171][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-11 16:06:58,485][cross_view_transformer.tabular_logger][WARNING] - Missing logger folder: /home/goroyeh/GKT/segmentation/logs/lightning_logs
[2023-02-11 16:07:03,544][cross_view_transformer.tabular_logger][INFO] - lr-AdamW:0.000400, step:0
[2023-02-11 16:07:05,557][root][INFO] - Reducer buckets have been rebuilt in this iteration.
[2023-02-11 16:07:15,578][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.042663, train/loss/visible_step:0.035723, train/loss/center_step:0.069393, epoch:0, step:49
[2023-02-11 16:07:25,482][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.037072, train/loss/visible_step:0.033360, train/loss/center_step:0.037116, epoch:0, step:99
[2023-02-11 16:07:34,674][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.031954, train/loss/visible_step:0.029598, train/loss/center_step:0.023562, epoch:0, step:149
[2023-02-11 16:07:43,536][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019506, train/loss/visible_step:0.017937, train/loss/center_step:0.015685, epoch:0, step:199
[2023-02-11 16:07:52,464][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.018186, train/loss/visible_step:0.017040, train/loss/center_step:0.011463, epoch:0, step:249
[2023-02-11 16:08:01,326][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013192, train/loss/visible_step:0.012361, train/loss/center_step:0.008308, epoch:0, step:299
[2023-02-11 16:08:10,205][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013851, train/loss/visible_step:0.013199, train/loss/center_step:0.006523, epoch:0, step:349
[2023-02-11 16:08:19,069][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.016884, train/loss/visible_step:0.016332, train/loss/center_step:0.005517, epoch:0, step:399
[2023-02-11 16:08:27,937][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013084, train/loss/visible_step:0.012663, train/loss/center_step:0.004207, epoch:0, step:449
[2023-02-11 16:08:36,747][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.017897, train/loss/visible_step:0.017531, train/loss/center_step:0.003657, epoch:0, step:499
[2023-02-11 16:08:45,692][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015305, train/loss/visible_step:0.014985, train/loss/center_step:0.003209, epoch:0, step:549
[2023-02-11 16:08:54,535][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.022617, train/loss/visible_step:0.022317, train/loss/center_step:0.002997, epoch:0, step:599
[2023-02-11 16:09:03,392][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.018942, train/loss/visible_step:0.018664, train/loss/center_step:0.002781, epoch:0, step:649
[2023-02-11 16:09:12,288][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.021470, train/loss/visible_step:0.021233, train/loss/center_step:0.002370, epoch:0, step:699
[2023-02-11 16:09:21,190][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.020128, train/loss/visible_step:0.019906, train/loss/center_step:0.002223, epoch:0, step:749
[2023-02-11 16:09:30,036][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019985, train/loss/visible_step:0.019786, train/loss/center_step:0.001995, epoch:0, step:799
