[2023-02-15 15:06:56,824][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpjz2tu63h
[2023-02-15 15:06:56,824][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpjz2tu63h/_remote_module_non_sriptable.py
[2023-02-15 15:06:57,045][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-15 15:07:03,873][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-15 15:07:03,873][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-15 15:07:13,765][cross_view_transformer.tabular_logger][INFO] - lr-AdamW:0.000400, step:0
[2023-02-15 15:07:16,276][root][INFO] - Reducer buckets have been rebuilt in this iteration.
[2023-02-15 15:07:26,562][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.042100, train/loss/visible_step:0.035191, train/loss/center_step:0.069093, epoch:0, step:49
[2023-02-15 15:07:36,808][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.036955, train/loss/visible_step:0.033279, train/loss/center_step:0.036759, epoch:0, step:99
[2023-02-15 15:07:46,090][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.031445, train/loss/visible_step:0.029093, train/loss/center_step:0.023522, epoch:0, step:149
[2023-02-15 15:07:55,134][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019249, train/loss/visible_step:0.017706, train/loss/center_step:0.015434, epoch:0, step:199
[2023-02-15 15:08:04,151][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.017968, train/loss/visible_step:0.016856, train/loss/center_step:0.011113, epoch:0, step:249
[2023-02-15 15:08:13,137][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013327, train/loss/visible_step:0.012492, train/loss/center_step:0.008349, epoch:0, step:299
[2023-02-15 15:08:22,229][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013713, train/loss/visible_step:0.013073, train/loss/center_step:0.006403, epoch:0, step:349
[2023-02-15 15:08:31,262][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.016809, train/loss/visible_step:0.016266, train/loss/center_step:0.005427, epoch:0, step:399
[2023-02-15 15:08:40,377][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012901, train/loss/visible_step:0.012493, train/loss/center_step:0.004075, epoch:0, step:449
[2023-02-15 15:08:49,439][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.018618, train/loss/visible_step:0.018258, train/loss/center_step:0.003596, epoch:0, step:499
[2023-02-15 15:08:58,584][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015760, train/loss/visible_step:0.015443, train/loss/center_step:0.003166, epoch:0, step:549
[2023-02-15 15:09:07,623][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.022577, train/loss/visible_step:0.022288, train/loss/center_step:0.002895, epoch:0, step:599
[2023-02-15 15:09:16,684][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019352, train/loss/visible_step:0.019078, train/loss/center_step:0.002737, epoch:0, step:649
[2023-02-15 15:09:25,732][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.021043, train/loss/visible_step:0.020809, train/loss/center_step:0.002338, epoch:0, step:699
[2023-02-15 15:09:34,792][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019035, train/loss/visible_step:0.018820, train/loss/center_step:0.002151, epoch:0, step:749
[2023-02-15 15:09:43,788][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019526, train/loss/visible_step:0.019331, train/loss/center_step:0.001948, epoch:0, step:799
[2023-02-15 15:09:52,874][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013470, train/loss/visible_step:0.013286, train/loss/center_step:0.001840, epoch:0, step:849
[2023-02-15 15:10:01,844][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008568, train/loss/visible_step:0.008430, train/loss/center_step:0.001388, epoch:0, step:899
[2023-02-15 15:10:10,902][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011429, train/loss/visible_step:0.011293, train/loss/center_step:0.001362, epoch:0, step:949
[2023-02-15 15:10:20,016][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008364, train/loss/visible_step:0.008243, train/loss/center_step:0.001210, epoch:0, step:999
[2023-02-15 15:10:29,154][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.024496, train/loss/visible_step:0.024345, train/loss/center_step:0.001511, epoch:0, step:1049
